Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43641,Water for Elephants,Sara Gruen,"Gruen, Sara",,1565125606,9781565125605,0,4.11,Algonquin Books,Paperback,368,2007,2006,,2022/04/20,to-read,to-read (#213),to-read,,,,0,0
55360283,Taste: My Life Through Food,Stanley Tucci,"Tucci, Stanley",,198216803X,9781982168032,0,4.20,Gallery Books,ebook,304,2021,2021,,2022/04/20,to-read,to-read (#212),to-read,,,,0,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,0735219117,9780735219113,0,4.38,G.P. Putnam’s Sons,ebook,384,2018,2018,,2022/04/20,to-read,to-read (#211),to-read,,,,0,0
42046112,Recursion,Blake Crouch,"Crouch, Blake",,1524759783,9781524759780,0,4.17,Ballantine Books,Hardcover,326,2019,2019,,2022/04/19,to-read,to-read (#210),to-read,,,,0,0
17934530,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"VanderMeer, Jeff",,0374104093,9780374104092,0,3.78,"Farrar, Straus and Giroux",Paperback,195,2014,2014,,2022/04/18,to-read,to-read (#209),to-read,,,,0,0
56221012,In the Weeds: Around the World and Behind the Scenes with Anthony Bourdain,Tom Vitale,"Vitale, Tom",,0306924099,9780306924095,0,4.25,Hachette Books,Hardcover,304,2021,2021,,2022/04/17,to-read,to-read (#208),to-read,,,,0,0
57693663,Devil House,John Darnielle,"Darnielle, John",,0374212236,9780374212230,0,3.21,MCD,Hardcover,403,2022,2022,,2022/04/17,to-read,to-read (#207),to-read,,,,0,0
23002,Three Farmers on Their Way to a Dance,Richard Powers,"Powers, Richard",,0060975091,9780060975098,0,3.71,William Morrow Paperbacks,Paperback,352,1994,1985,,2022/04/17,to-read,to-read (#206),to-read,,,,0,0
29248613,The Good People,Hannah Kent,"Kent, Hannah",,1743534906,9781743534908,0,3.81,Pan Macmillan,Paperback,386,2016,2016,,2022/04/16,to-read,to-read (#205),to-read,,,,0,0
82006,The Human Experiment: Two Years and Twenty Minutes Inside Biosphere 2,Jane Poynter,"Poynter, Jane",,156025775X,9781560257752,0,3.55,Basic Books,Hardcover,384,2006,2006,,2022/04/16,to-read,to-read (#204),to-read,,,,0,0
4953,A Heartbreaking Work of Staggering Genius,Dave Eggers,"Eggers, Dave",,0375725784,9780375725784,3,3.69,Vintage,Paperback,437,2001,2000,2022/04/15,2022/02/21,,,read,,,,1,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,0525555218,9780525555216,5,4.36,Dutton,Hardcover,304,2021,2021,2022/04/15,2022/04/04,,,read,,,,1,0
50892212,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,"Gong, Chloe",,1534457690,9781534457690,0,3.82,Margaret K. McElderry Books,Hardcover,449,2020,2020,,2022/04/15,to-read,to-read (#203),to-read,,,,0,0
33369254,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,"Fournier, Camille",,1491973897,9781491973899,0,4.26,O'Reilly Media,Paperback,226,2017,2017,,2022/04/14,to-read,to-read (#202),to-read,,,,0,0
55123338,Become an Effective Software Engineering Manager: How to Be the Leader Your Development Team Needs,James Stanier,"Stanier, James",,,,0,4.37,Pragmatic Bookshelf,Kindle Edition,398,2020,2020,,2021/09/28,to-read,to-read (#201),to-read,,,,1,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,1400031702,9781400031702,0,4.17,Vintage,Paperback,559,1992,1992,,2022/04/13,to-read,to-read (#200),to-read,,,,0,0
37540510,Special Characters: My Adventures with Tech's Titans and Misfits,Laurie Segall,"Segall, Laurie",,0063016443,9780063016446,0,3.95,Dey Street Books,Hardcover,368,2022,,,2022/04/13,to-read,to-read (#199),to-read,,,,0,0
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,0316440884,9780316440882,5,4.08,Orbit,Paperback,540,2018,2017,2022/04/12,2022/04/02,,,read,,,,1,0
